CITY_CODE,CITY_NAME,CITY_COMMON_NAME,COUNTRY_CODE,COUNTRY_NAME,REGION,SUBREGION,LATITUDE,LONGITUDE,EFFECTIVE,OBSOLETE
AS052,Asmara,Asmara,2737,Eritrea,Africa,Sub-Saharan Africa,15.339,38.932674,2021,0
AS010,Asosa,Asosa,1410,Ethiopia,Africa,Sub-Saharan Africa,10.0633,34.544746,,0
AS060,Assab,Assab,2737,Eritrea,Africa,Sub-Saharan Africa,13.0272,42.74278,,0
AS010,Assiut,Assiut,4500,Egypt,Africa,Northern Africa,27.2,31.1,,0
AS020,Astana,Nur-Sultan,4319,Kazakhstan,Asia,Central Asia,51.1553,71.433086,,0
AS539,Astana,Astana,4319,Kazakhstan,Asia,Central Asia,51.1667,71.4333,,0
AS010,Asuncion,Asuncion,3360,Paraguay,Americas,Latin America and the Caribbean,-25.296,-57.631115,2019,0
AS070,Aswan,Aswan,4500,Egypt,Africa,Northern Africa,23.3,32.9,,0
AT448,At Turbah,At Turbah,9400,Yemen,Asia,Western Asia,13.2128,44.12416667,,0
AT010,Atakpame,Atakpame,4230,Togo,Africa,Sub-Saharan Africa,6.5833,0.75,,0
AT500,Atambua,Atambua,2070,Indonesia,Asia,South-eastern Asia,-9.1061,124.8925,,0
AT010,Atar,Atar,2820,Mauritania,Africa,Sub-Saharan Africa,16.194,-13.66101,,0
AT004,Atbara,Atbara,4020,Sudan,Africa,Northern Africa,17.7022,33.98638,,0
AT010,Athens,Athens,1650,Greece,Europe,Southern Europe,37.9794,23.71622,,0
AT010,Athi River,Athi River,2400,Kenya,Africa,Sub-Saharan Africa,-1.4563,36.97826,,0
AT040,Ati,Ati,810,Chad,Africa,Sub-Saharan Africa,12.7461,17.66856,,0
AT100,Atiu,Atiu,3090,New Zealand,Oceania,Australia and New Zealand,-19.9917,-158.11944,,0
AT050,Atlanta,Atlanta,4560,United States of America,Americas,Northern America,33.7489924,-84.3902644,,0
AT020,Attapu,Attapu,2460,Lao People's Democratic Republic,Asia,South-eastern Asia,14.6667,107,,0
AT015,Attika,Attika,1650,Greece,Europe,Southern Europe,37.9204,23.9035,,0
AU256,Aubonne,Aubonne,5750,Switzerland,Europe,Western Europe,46.4961,6.390551,,0
AU018,Auchi,Auchi,3210,Nigeria,Africa,Sub-Saharan Africa,7.0667,6.26667,,0
AU100,Auckland,Auckland,3090,New Zealand,Oceania,Australia and New Zealand,-36.85,174.78333,,0
AU020,Augusta,Augusta,2220,Italy,Europe,Southern Europe,37.25,15.216667,,0
AU010,Aunglan,Aunglan,600,Myanmar,Asia,South-eastern Asia,19.3684,95.21512,,0
AU010,Austin,Austin,4560,United States of America,Americas,Northern America,30.2711286,-97.7436995,,0
AV200,Avignon,Avignon,1470,France,Europe,Western Europe,43.9486,4.808333333,,0
AV010,Avurua,Awarua,3090,New Zealand,Oceania,Australia and New Zealand,-35.5766,173.83465,,0
AW005,Aware,Aware,1410,Ethiopia,Africa,Sub-Saharan Africa,8.2561,44.15667,,0
AW010,Awasa,Awasa,1410,Ethiopia,Africa,Sub-Saharan Africa,7.0516,38.479681,2021,0
AW010,Aweil,Aweil,4021,South Sudan,Africa,Sub-Saharan Africa,8.7649,27.394682,2021,0
AW020,Awka,Awka,3210,Nigeria,Africa,Sub-Saharan Africa,5.624,7.18382,,0
AY007,Ayacucho,Ayacucho,3390,Peru,Americas,Latin America and the Caribbean,-14,-74.25,,0
AY258,Aydın,Aydın,4350,Türkiye,Asia,Western Asia,37.8444,27.8458,,0
AD010,Ayeyarwady Delta,Irrawady Delta,600,Myanmar,Asia,South-eastern Asia,15.7776,95.063546,,0
AY010,Ayourou,Ayourou,3180,Niger,Africa,Sub-Saharan Africa,14.7308,0.91739,,0
AZ010,Azad Kashmir,Azad Kashmir,3300,Pakistan,Asia,Southern Asia,33.9472,73.9104,,0
AZ010,Azilal,Azilal,2910,Morocco,Africa,Northern Africa,29.8184,-9.37182,,0
AZ040,Azogues,Azogues,1350,Ecuador,Americas,Latin America and the Caribbean,-2.7403,-78.84722,,0
AZ020,Azraq,Azraq,2340,Jordan,Asia,Western Asia,31.8808,36.826139,2019,0
AZ020,Azul,Azul,240,Argentina,Americas,Latin America and the Caribbean,-27.6331,-55.4962,,0
BA010,Babati,Babati,4550,United Republic of Tanzania,Africa,Sub-Saharan Africa,-4.2167,35.75,,0
BA010,Babil,Babil,2130,Iraq,Asia,Western Asia,32.5399,44.41477,,0
BA005,Babougou,Babougou,2760,Mali,Africa,Sub-Saharan Africa,15.9,-7.58333,,0
BA010,Bacelod,Bacolod,3420,Philippines,Asia,South-eastern Asia,7.8546,124.13881,,0
BA010,Bad Godesberg,Bad Godesberg,5250,Germany,Europe,Western Europe,50.6846,7.15393,,0
BA935,Badakhshan,Badakhshan,60,Afghanistan,Asia,Southern Asia,36.75,72,2023,0
BA010,Badghis,Badghis,60,Afghanistan,Asia,Southern Asia,34.9876,63.129039,,0
